pin,site,tile
AB4,IOB_X1Y73,RIOB18_X43Y73
AC4,IOB_X1Y72,RIOB18_X43Y71
AC3,IOB_X1Y71,RIOB18_X43Y71
AA5,IOB_X1Y70,RIOB18_X43Y69
AB5,IOB_X1Y69,RIOB18_X43Y69
AB6,IOB_X1Y68,RIOB18_X43Y67
AC6,IOB_X1Y67,RIOB18_X43Y67
Y6,IOB_X1Y66,RIOB18_X43Y65
Y5,IOB_X1Y65,RIOB18_X43Y65
AD6,IOB_X1Y64,RIOB18_X43Y63
AD5,IOB_X1Y63,RIOB18_X43Y63
AD4,IOB_X1Y62,RIOB18_X43Y61
AD3,IOB_X1Y61,RIOB18_X43Y61
AD1,IOB_X1Y60,RIOB18_X43Y59
AE1,IOB_X1Y59,RIOB18_X43Y59
AF5,IOB_X1Y58,RIOB18_X43Y57
AF4,IOB_X1Y57,RIOB18_X43Y57
AE3,IOB_X1Y56,RIOB18_X43Y55
AE2,IOB_X1Y55,RIOB18_X43Y55
AE6,IOB_X1Y54,RIOB18_X43Y53
AE5,IOB_X1Y53,RIOB18_X43Y53
AF3,IOB_X1Y52,RIOB18_X43Y51
AF2,IOB_X1Y51,RIOB18_X43Y51
T7,IOB_X1Y50,RIOB18_SING_X43Y50
H2,OPAD_X0Y7,GTX_CHANNEL_3_X99Y150
J4,IPAD_X0Y25,GTX_CHANNEL_3_X99Y150
H1,OPAD_X0Y6,GTX_CHANNEL_3_X99Y150
J3,IPAD_X0Y24,GTX_CHANNEL_3_X99Y150
K2,OPAD_X0Y5,GTX_CHANNEL_2_X99Y139
L4,IPAD_X0Y19,GTX_CHANNEL_2_X99Y139
K1,OPAD_X0Y4,GTX_CHANNEL_2_X99Y139
H6,IPAD_X0Y8,GTX_COMMON_X99Y127
L3,IPAD_X0Y18,GTX_CHANNEL_2_X99Y139
H5,IPAD_X0Y9,GTX_COMMON_X99Y127
K5,IPAD_X0Y11,GTX_COMMON_X99Y127
K6,IPAD_X0Y10,GTX_COMMON_X99Y127
M2,OPAD_X0Y3,GTX_CHANNEL_1_X99Y121
N4,IPAD_X0Y7,GTX_CHANNEL_1_X99Y121
M1,OPAD_X0Y2,GTX_CHANNEL_1_X99Y121
N3,IPAD_X0Y6,GTX_CHANNEL_1_X99Y121
P2,OPAD_X0Y1,GTX_CHANNEL_0_X99Y110
R4,IPAD_X0Y1,GTX_CHANNEL_0_X99Y110
P1,OPAD_X0Y0,GTX_CHANNEL_0_X99Y110
R3,IPAD_X0Y0,GTX_CHANNEL_0_X99Y110
A4,OPAD_X0Y15,GTX_CHANNEL_3_X99Y202
B6,IPAD_X0Y55,GTX_CHANNEL_3_X99Y202
A3,OPAD_X0Y14,GTX_CHANNEL_3_X99Y202
